symbol,baseAsset,quoteAsset,status
DUSKPAX,DUSK,PAX,BREAK
BGBPUSDC,BGBP,USDC,BREAK
ANKRBNB,ANKR,BNB,TRADING
ANKRBTC,ANKR,BTC,TRADING
ANKRUSDT,ANKR,USDT,TRADING
ANKRTUSD,ANKR,TUSD,BREAK
ANKRPAX,ANKR,PAX,BREAK
ANKRUSDC,ANKR,USDC,BREAK
ONTPAX,ONT,PAX,BREAK
ONTUSDC,ONT,USDC,BREAK
WINBNB,WIN,BNB,TRADING
WINBTC,WIN,BTC,BREAK
WINUSDT,WIN,USDT,TRADING
WINUSDC,WIN,USDC,BREAK
COSBNB,COS,BNB,TRADING
COSBTC,COS,BTC,TRADING
COSUSDT,COS,USDT,TRADING
TUSDBTUSD,TUSDB,TUSD,BREAK
NPXSUSDT,NPXS,USDT,BREAK
NPXSUSDC,NPXS,USDC,BREAK
COCOSBNB,COCOS,BNB,TRADING
COCOSBTC,COCOS,BTC,BREAK
COCOSUSDT,COCOS,USDT,TRADING
MTLUSDT,MTL,USDT,TRADING
TOMOBNB,TOMO,BNB,BREAK
TOMOBTC,TOMO,BTC,TRADING
TOMOUSDT,TOMO,USDT,TRADING
TOMOUSDC,TOMO,USDC,BREAK
PERLBNB,PERL,BNB,BREAK
PERLBTC,PERL,BTC,BREAK
PERLUSDC,PERL,USDC,BREAK
PERLUSDT,PERL,USDT,TRADING
DENTUSDT,DENT,USDT,TRADING
MFTUSDT,MFT,USDT,BREAK
KEYUSDT,KEY,USDT,TRADING
STORMUSDT,STORM,USDT,BREAK
DOCKUSDT,DOCK,USDT,TRADING
WANUSDT,WAN,USDT,TRADING
FUNUSDT,FUN,USDT,TRADING
CVCUSDT,CVC,USDT,BREAK
BTTTRX,BTT,TRX,BREAK
WINTRX,WIN,TRX,TRADING
CHZBNB,CHZ,BNB,TRADING
CHZBTC,CHZ,BTC,TRADING
CHZUSDT,CHZ,USDT,TRADING
BANDBNB,BAND,BNB,BREAK
BANDBTC,BAND,BTC,TRADING
BANDUSDT,BAND,USDT,TRADING
BNBBUSD,BNB,BUSD,TRADING
BTCBUSD,BTC,BUSD,TRADING
BUSDUSDT,BUSD,USDT,TRADING
BEAMBNB,BEAM,BNB,BREAK
BEAMBTC,BEAM,BTC,BREAK
BEAMUSDT,BEAM,USDT,TRADING
XTZBNB,XTZ,BNB,TRADING
XTZBTC,XTZ,BTC,TRADING
XTZUSDT,XTZ,USDT,TRADING
RENUSDT,REN,USDT,TRADING
RVNUSDT,RVN,USDT,TRADING
HCUSDT,HC,USDT,BREAK
HBARBNB,HBAR,BNB,TRADING
HBARBTC,HBAR,BTC,TRADING
HBARUSDT,HBAR,USDT,TRADING
NKNBNB,NKN,BNB,BREAK
NKNBTC,NKN,BTC,TRADING
NKNUSDT,NKN,USDT,TRADING
XRPBUSD,XRP,BUSD,TRADING
ETHBUSD,ETH,BUSD,TRADING
BCHABCBUSD,BCHABC,BUSD,BREAK
LTCBUSD,LTC,BUSD,TRADING
LINKBUSD,LINK,BUSD,TRADING
ETCBUSD,ETC,BUSD,TRADING
STXBNB,STX,BNB,TRADING
STXBTC,STX,BTC,TRADING
STXUSDT,STX,USDT,TRADING
KAVABNB,KAVA,BNB,TRADING
KAVABTC,KAVA,BTC,TRADING
KAVAUSDT,KAVA,USDT,TRADING
BUSDNGN,BUSD,NGN,BREAK
BNBNGN,BNB,NGN,BREAK
BTCNGN,BTC,NGN,BREAK
ARPABNB,ARPA,BNB,TRADING
ARPABTC,ARPA,BTC,TRADING
ARPAUSDT,ARPA,USDT,TRADING
TRXBUSD,TRX,BUSD,TRADING
EOSBUSD,EOS,BUSD,TRADING
IOTXUSDT,IOTX,USDT,TRADING
RLCUSDT,RLC,USDT,TRADING
MCOUSDT,MCO,USDT,BREAK
XLMBUSD,XLM,BUSD,TRADING
ADABUSD,ADA,BUSD,TRADING
CTXCBNB,CTXC,BNB,BREAK
CTXCBTC,CTXC,BTC,TRADING
CTXCUSDT,CTXC,USDT,TRADING
BCHBNB,BCH,BNB,TRADING
BCHBTC,BCH,BTC,TRADING
BCHUSDT,BCH,USDT,TRADING
BCHUSDC,BCH,USDC,BREAK
BCHTUSD,BCH,TUSD,BREAK
BCHPAX,BCH,PAX,BREAK
BCHBUSD,BCH,BUSD,TRADING
BTCRUB,BTC,RUB,TRADING
ETHRUB,ETH,RUB,TRADING
XRPRUB,XRP,RUB,TRADING
BNBRUB,BNB,RUB,TRADING
TROYBNB,TROY,BNB,BREAK
TROYBTC,TROY,BTC,BREAK
TROYUSDT,TROY,USDT,TRADING
BUSDRUB,BUSD,RUB,TRADING
QTUMBUSD,QTUM,BUSD,TRADING
VETBUSD,VET,BUSD,TRADING
VITEBNB,VITE,BNB,BREAK
VITEBTC,VITE,BTC,TRADING
VITEUSDT,VITE,USDT,TRADING
FTTBNB,FTT,BNB,BREAK
FTTBTC,FTT,BTC,BREAK
FTTUSDT,FTT,USDT,BREAK
BTCTRY,BTC,TRY,TRADING
BNBTRY,BNB,TRY,TRADING
BUSDTRY,BUSD,TRY,TRADING
ETHTRY,ETH,TRY,TRADING
XRPTRY,XRP,TRY,TRADING
USDTTRY,USDT,TRY,TRADING
USDTRUB,USDT,RUB,TRADING
BTCEUR,BTC,EUR,TRADING
ETHEUR,ETH,EUR,TRADING
BNBEUR,BNB,EUR,TRADING
XRPEUR,XRP,EUR,TRADING
EURBUSD,EUR,BUSD,TRADING
EURUSDT,EUR,USDT,TRADING
OGNBNB,OGN,BNB,BREAK
OGNBTC,OGN,BTC,TRADING
OGNUSDT,OGN,USDT,TRADING
DREPBNB,DREP,BNB,BREAK
DREPBTC,DREP,BTC,TRADING
DREPUSDT,DREP,USDT,TRADING
BULLUSDT,BULL,USDT,BREAK
BULLBUSD,BULL,BUSD,BREAK
BEARUSDT,BEAR,USDT,BREAK
BEARBUSD,BEAR,BUSD,BREAK
ETHBULLUSDT,ETHBULL,USDT,BREAK
ETHBULLBUSD,ETHBULL,BUSD,BREAK
ETHBEARUSDT,ETHBEAR,USDT,BREAK
ETHBEARBUSD,ETHBEAR,BUSD,BREAK
TCTBNB,TCT,BNB,BREAK
TCTBTC,TCT,BTC,BREAK
TCTUSDT,TCT,USDT,BREAK
WRXBNB,WRX,BNB,TRADING
WRXBTC,WRX,BTC,TRADING
WRXUSDT,WRX,USDT,TRADING
ICXBUSD,ICX,BUSD,TRADING
BTSUSDT,BTS,USDT,TRADING
BTSBUSD,BTS,BUSD,BREAK
LSKUSDT,LSK,USDT,TRADING
BNTUSDT,BNT,USDT,TRADING
BNTBUSD,BNT,BUSD,TRADING
LTOBNB,LTO,BNB,BREAK
LTOBTC,LTO,BTC,TRADING
LTOUSDT,LTO,USDT,TRADING
ATOMBUSD,ATOM,BUSD,TRADING
DASHBUSD,DASH,BUSD,TRADING
NEOBUSD,NEO,BUSD,TRADING
WAVESBUSD,WAVES,BUSD,TRADING
XTZBUSD,XTZ,BUSD,TRADING
EOSBULLUSDT,EOSBULL,USDT,BREAK
EOSBULLBUSD,EOSBULL,BUSD,BREAK
EOSBEARUSDT,EOSBEAR,USDT,BREAK
EOSBEARBUSD,EOSBEAR,BUSD,BREAK
XRPBULLUSDT,XRPBULL,USDT,BREAK
XRPBULLBUSD,XRPBULL,BUSD,BREAK
XRPBEARUSDT,XRPBEAR,USDT,BREAK
XRPBEARBUSD,XRPBEAR,BUSD,BREAK
BATBUSD,BAT,BUSD,TRADING
ENJBUSD,ENJ,BUSD,TRADING
NANOBUSD,NANO,BUSD,BREAK
ONTBUSD,ONT,BUSD,TRADING
RVNBUSD,RVN,BUSD,TRADING
STRATBUSD,STRAT,BUSD,BREAK
STRATBNB,STRAT,BNB,BREAK
STRATUSDT,STRAT,USDT,BREAK
AIONBUSD,AION,BUSD,BREAK
AIONUSDT,AION,USDT,TRADING
MBLBNB,MBL,BNB,BREAK
MBLBTC,MBL,BTC,BREAK
MBLUSDT,MBL,USDT,TRADING
COTIBNB,COTI,BNB,TRADING
COTIBTC,COTI,BTC,TRADING
COTIUSDT,COTI,USDT,TRADING
ALGOBUSD,ALGO,BUSD,TRADING
BTTBUSD,BTT,BUSD,BREAK
TOMOBUSD,TOMO,BUSD,TRADING
XMRBUSD,XMR,BUSD,TRADING
ZECBUSD,ZEC,BUSD,TRADING
BNBBULLUSDT,BNBBULL,USDT,BREAK
BNBBULLBUSD,BNBBULL,BUSD,BREAK
BNBBEARUSDT,BNBBEAR,USDT,BREAK
BNBBEARBUSD,BNBBEAR,BUSD,BREAK
STPTBNB,STPT,BNB,BREAK
STPTBTC,STPT,BTC,TRADING
STPTUSDT,STPT,USDT,TRADING
BTCZAR,BTC,ZAR,TRADING
ETHZAR,ETH,ZAR,TRADING
BNBZAR,BNB,ZAR,BREAK
USDTZAR,USDT,ZAR,BREAK
BUSDZAR,BUSD,ZAR,TRADING
BTCBKRW,BTC,BKRW,BREAK
ETHBKRW,ETH,BKRW,BREAK
BNBBKRW,BNB,BKRW,BREAK
WTCUSDT,WTC,USDT,TRADING
DATABUSD,DATA,BUSD,TRADING
DATAUSDT,DATA,USDT,TRADING
XZCUSDT,XZC,USDT,BREAK
SOLBNB,SOL,BNB,TRADING
SOLBTC,SOL,BTC,TRADING
SOLUSDT,SOL,USDT,TRADING
SOLBUSD,SOL,BUSD,TRADING
BTCIDRT,BTC,IDRT,BREAK
BNBIDRT,BNB,IDRT,BREAK
USDTIDRT,USDT,IDRT,TRADING
BUSDIDRT,BUSD,IDRT,BREAK
CTSIBTC,CTSI,BTC,TRADING
CTSIUSDT,CTSI,USDT,TRADING
CTSIBNB,CTSI,BNB,TRADING
CTSIBUSD,CTSI,BUSD,TRADING
HIVEBNB,HIVE,BNB,BREAK
HIVEBTC,HIVE,BTC,TRADING
HIVEUSDT,HIVE,USDT,TRADING
CHRBNB,CHR,BNB,TRADING
CHRBTC,CHR,BTC,TRADING
CHRUSDT,CHR,USDT,TRADING
BTCUPUSDT,BTCUP,USDT,TRADING
BTCDOWNUSDT,BTCDOWN,USDT,TRADING
GXSUSDT,GXS,USDT,BREAK
ARDRUSDT,ARDR,USDT,TRADING
ERDBUSD,ERD,BUSD,BREAK
LENDUSDT,LEND,USDT,BREAK
HBARBUSD,HBAR,BUSD,TRADING
MATICBUSD,MATIC,BUSD,TRADING
WRXBUSD,WRX,BUSD,TRADING
ZILBUSD,ZIL,BUSD,TRADING
MDTBNB,MDT,BNB,BREAK
MDTBTC,MDT,BTC,TRADING
MDTUSDT,MDT,USDT,TRADING
STMXBTC,STMX,BTC,TRADING
STMXETH,STMX,ETH,BREAK
STMXUSDT,STMX,USDT,TRADING
KNCBUSD,KNC,BUSD,TRADING
KNCUSDT,KNC,USDT,TRADING
REPBUSD,REP,BUSD,BREAK
REPUSDT,REP,USDT,BREAK
LRCBUSD,LRC,BUSD,TRADING
LRCUSDT,LRC,USDT,TRADING
IQBNB,IQ,BNB,BREAK
IQBUSD,IQ,BUSD,TRADING
PNTBTC,PNT,BTC,BREAK
PNTUSDT,PNT,USDT,TRADING
BTCGBP,BTC,GBP,TRADING
ETHGBP,ETH,GBP,TRADING
XRPGBP,XRP,GBP,TRADING
BNBGBP,BNB,GBP,TRADING
GBPBUSD,GBP,BUSD,TRADING
DGBBTC,DGB,BTC,TRADING
DGBBUSD,DGB,BUSD,TRADING
BTCUAH,BTC,UAH,TRADING
USDTUAH,USDT,UAH,TRADING
COMPBTC,COMP,BTC,TRADING
COMPBNB,COMP,BNB,BREAK
COMPBUSD,COMP,BUSD,TRADING
COMPUSDT,COMP,USDT,TRADING
BTCBIDR,BTC,BIDR,TRADING
ETHBIDR,ETH,BIDR,TRADING
BNBBIDR,BNB,BIDR,TRADING
BUSDBIDR,BUSD,BIDR,TRADING
USDTBIDR,USDT,BIDR,TRADING
BKRWUSDT,BKRW,USDT,BREAK
BKRWBUSD,BKRW,BUSD,BREAK
SCUSDT,SC,USDT,TRADING
ZENUSDT,ZEN,USDT,TRADING
SXPBTC,SXP,BTC,TRADING
SXPBNB,SXP,BNB,TRADING
SXPBUSD,SXP,BUSD,TRADING
SNXBTC,SNX,BTC,TRADING
SNXBNB,SNX,BNB,TRADING
SNXBUSD,SNX,BUSD,TRADING
SNXUSDT,SNX,USDT,TRADING
ETHUPUSDT,ETHUP,USDT,TRADING
ETHDOWNUSDT,ETHDOWN,USDT,TRADING
ADAUPUSDT,ADAUP,USDT,TRADING
ADADOWNUSDT,ADADOWN,USDT,TRADING
LINKUPUSDT,LINKUP,USDT,TRADING
LINKDOWNUSDT,LINKDOWN,USDT,TRADING
VTHOBNB,VTHO,BNB,BREAK
VTHOBUSD,VTHO,BUSD,BREAK
VTHOUSDT,VTHO,USDT,TRADING
DCRBUSD,DCR,BUSD,BREAK
DGBUSDT,DGB,USDT,TRADING
GBPUSDT,GBP,USDT,TRADING
STORJBUSD,STORJ,BUSD,TRADING
SXPUSDT,SXP,USDT,TRADING
IRISBNB,IRIS,BNB,BREAK
IRISBTC,IRIS,BTC,TRADING
IRISBUSD,IRIS,BUSD,BREAK
MKRBNB,MKR,BNB,BREAK
MKRBTC,MKR,BTC,TRADING
MKRUSDT,MKR,USDT,TRADING
MKRBUSD,MKR,BUSD,TRADING
DAIBNB,DAI,BNB,BREAK
DAIBTC,DAI,BTC,BREAK
DAIUSDT,DAI,USDT,BREAK
DAIBUSD,DAI,BUSD,BREAK
RUNEBNB,RUNE,BNB,TRADING
RUNEBTC,RUNE,BTC,TRADING
RUNEBUSD,RUNE,BUSD,TRADING
MANABUSD,MANA,BUSD,TRADING
DOGEBUSD,DOGE,BUSD,TRADING
LENDBUSD,LEND,BUSD,BREAK
ZRXBUSD,ZRX,BUSD,TRADING
DCRUSDT,DCR,USDT,TRADING
STORJUSDT,STORJ,USDT,TRADING
XRPBKRW,XRP,BKRW,BREAK
ADABKRW,ADA,BKRW,BREAK
BTCAUD,BTC,AUD,TRADING
ETHAUD,ETH,AUD,TRADING
AUDBUSD,AUD,BUSD,TRADING
FIOBNB,FIO,BNB,BREAK
FIOBTC,FIO,BTC,TRADING
FIOBUSD,FIO,BUSD,TRADING
BNBUPUSDT,BNBUP,USDT,TRADING
BNBDOWNUSDT,BNBDOWN,USDT,TRADING
XTZUPUSDT,XTZUP,USDT,BREAK
XTZDOWNUSDT,XTZDOWN,USDT,BREAK
AVABNB,AVA,BNB,BREAK
AVABTC,AVA,BTC,TRADING
AVABUSD,AVA,BUSD,TRADING
USDTBKRW,USDT,BKRW,BREAK
BUSDBKRW,BUSD,BKRW,BREAK
IOTABUSD,IOTA,BUSD,TRADING
MANAUSDT,MANA,USDT,TRADING
XRPAUD,XRP,AUD,TRADING
BNBAUD,BNB,AUD,TRADING
AUDUSDT,AUD,USDT,TRADING
BALBNB,BAL,BNB,BREAK
BALBTC,BAL,BTC,TRADING
BALBUSD,BAL,BUSD,TRADING
YFIBNB,YFI,BNB,BREAK
YFIBTC,YFI,BTC,TRADING
YFIBUSD,YFI,BUSD,TRADING
YFIUSDT,YFI,USDT,TRADING
BLZBUSD,BLZ,BUSD,TRADING
KMDBUSD,KMD,BUSD,BREAK
BALUSDT,BAL,USDT,TRADING
BLZUSDT,BLZ,USDT,TRADING
IRISUSDT,IRIS,USDT,TRADING
KMDUSDT,KMD,USDT,TRADING
BTCDAI,BTC,DAI,TRADING
ETHDAI,ETH,DAI,TRADING
BNBDAI,BNB,DAI,TRADING
USDTDAI,USDT,DAI,TRADING
BUSDDAI,BUSD,DAI,TRADING
JSTBNB,JST,BNB,BREAK
JSTBTC,JST,BTC,TRADING
JSTBUSD,JST,BUSD,TRADING
JSTUSDT,JST,USDT,TRADING
SRMBNB,SRM,BNB,BREAK
SRMBTC,SRM,BTC,BREAK
SRMBUSD,SRM,BUSD,TRADING
SRMUSDT,SRM,USDT,BREAK
ANTBNB,ANT,BNB,TRADING
ANTBTC,ANT,BTC,TRADING
ANTBUSD,ANT,BUSD,TRADING
ANTUSDT,ANT,USDT,TRADING
CRVBNB,CRV,BNB,BREAK
CRVBTC,CRV,BTC,TRADING
CRVBUSD,CRV,BUSD,TRADING
CRVUSDT,CRV,USDT,TRADING
SANDBNB,SAND,BNB,TRADING
SANDBTC,SAND,BTC,TRADING
SANDUSDT,SAND,USDT,TRADING
SANDBUSD,SAND,BUSD,TRADING
OCEANBNB,OCEAN,BNB,TRADING
OCEANBTC,OCEAN,BTC,TRADING
OCEANBUSD,OCEAN,BUSD,TRADING
OCEANUSDT,OCEAN,USDT,TRADING
NMRBTC,NMR,BTC,TRADING
NMRBUSD,NMR,BUSD,TRADING
NMRUSDT,NMR,USDT,TRADING
DOTBNB,DOT,BNB,TRADING
DOTBTC,DOT,BTC,TRADING
DOTBUSD,DOT,BUSD,TRADING
DOTUSDT,DOT,USDT,TRADING
LUNABNB,LUNA,BNB,BREAK
LUNABTC,LUNA,BTC,BREAK
LUNABUSD,LUNA,BUSD,TRADING
LUNAUSDT,LUNA,USDT,TRADING
IDEXBTC,IDEX,BTC,TRADING
IDEXBUSD,IDEX,BUSD,TRADING
RSRBNB,RSR,BNB,TRADING
RSRBTC,RSR,BTC,BREAK
RSRBUSD,RSR,BUSD,TRADING
RSRUSDT,RSR,USDT,TRADING
PAXGBNB,PAXG,BNB,TRADING
PAXGBTC,PAXG,BTC,TRADING
PAXGBUSD,PAXG,BUSD,TRADING
PAXGUSDT,PAXG,USDT,TRADING
WNXMBNB,WNXM,BNB,BREAK
WNXMBTC,WNXM,BTC,BREAK
WNXMBUSD,WNXM,BUSD,BREAK
WNXMUSDT,WNXM,USDT,TRADING
TRBBNB,TRB,BNB,BREAK
TRBBTC,TRB,BTC,TRADING
TRBBUSD,TRB,BUSD,TRADING
TRBUSDT,TRB,USDT,TRADING
ETHNGN,ETH,NGN,BREAK
DOTBIDR,DOT,BIDR,TRADING
LINKAUD,LINK,AUD,TRADING
SXPAUD,SXP,AUD,BREAK
BZRXBNB,BZRX,BNB,BREAK
BZRXBTC,BZRX,BTC,BREAK
BZRXBUSD,BZRX,BUSD,BREAK
BZRXUSDT,BZRX,USDT,BREAK
WBTCBTC,WBTC,BTC,TRADING
WBTCETH,WBTC,ETH,TRADING
SUSHIBNB,SUSHI,BNB,TRADING
SUSHIBTC,SUSHI,BTC,TRADING
SUSHIBUSD,SUSHI,BUSD,TRADING
SUSHIUSDT,SUSHI,USDT,TRADING
YFIIBNB,YFII,BNB,BREAK
YFIIBTC,YFII,BTC,BREAK
YFIIBUSD,YFII,BUSD,BREAK
YFIIUSDT,YFII,USDT,TRADING
KSMBNB,KSM,BNB,BREAK
KSMBTC,KSM,BTC,TRADING
KSMBUSD,KSM,BUSD,TRADING
KSMUSDT,KSM,USDT,TRADING
EGLDBNB,EGLD,BNB,TRADING
EGLDBTC,EGLD,BTC,TRADING
EGLDBUSD,EGLD,BUSD,TRADING
EGLDUSDT,EGLD,USDT,TRADING
DIABNB,DIA,BNB,BREAK
DIABTC,DIA,BTC,TRADING
DIABUSD,DIA,BUSD,TRADING
DIAUSDT,DIA,USDT,TRADING
RUNEUSDT,RUNE,USDT,TRADING
FIOUSDT,FIO,USDT,TRADING
UMABTC,UMA,BTC,TRADING
UMAUSDT,UMA,USDT,TRADING
EOSUPUSDT,EOSUP,USDT,BREAK
EOSDOWNUSDT,EOSDOWN,USDT,BREAK
TRXUPUSDT,TRXUP,USDT,BREAK
TRXDOWNUSDT,TRXDOWN,USDT,BREAK
XRPUPUSDT,XRPUP,USDT,TRADING
XRPDOWNUSDT,XRPDOWN,USDT,TRADING
DOTUPUSDT,DOTUP,USDT,BREAK
DOTDOWNUSDT,DOTDOWN,USDT,BREAK
SRMBIDR,SRM,BIDR,BREAK
ONEBIDR,ONE,BIDR,BREAK
LINKTRY,LINK,TRY,TRADING
USDTNGN,USDT,NGN,TRADING
BELBNB,BEL,BNB,TRADING
BELBTC,BEL,BTC,TRADING
BELBUSD,BEL,BUSD,TRADING
BELUSDT,BEL,USDT,TRADING
WINGBNB,WING,BNB,BREAK
WINGBTC,WING,BTC,TRADING
SWRVBNB,SWRV,BNB,BREAK
SWRVBUSD,SWRV,BUSD,BREAK
WINGBUSD,WING,BUSD,TRADING
WINGUSDT,WING,USDT,TRADING
LTCUPUSDT,LTCUP,USDT,BREAK
LTCDOWNUSDT,LTCDOWN,USDT,BREAK
LENDBKRW,LEND,BKRW,BREAK
SXPEUR,SXP,EUR,TRADING
CREAMBNB,CREAM,BNB,BREAK
CREAMBUSD,CREAM,BUSD,TRADING
UNIBNB,UNI,BNB,TRADING
UNIBTC,UNI,BTC,TRADING
UNIBUSD,UNI,BUSD,TRADING
UNIUSDT,UNI,USDT,TRADING
NBSBTC,NBS,BTC,BREAK
NBSUSDT,NBS,USDT,BREAK
OXTBTC,OXT,BTC,TRADING
OXTUSDT,OXT,USDT,TRADING
SUNBTC,SUN,BTC,BREAK
SUNUSDT,SUN,USDT,TRADING
AVAXBNB,AVAX,BNB,TRADING
AVAXBTC,AVAX,BTC,TRADING
AVAXBUSD,AVAX,BUSD,TRADING
AVAXUSDT,AVAX,USDT,TRADING
HNTBTC,HNT,BTC,BREAK
HNTUSDT,HNT,USDT,BREAK
BAKEBNB,BAKE,BNB,TRADING
BURGERBNB,BURGER,BNB,TRADING
SXPBIDR,SXP,BIDR,BREAK
LINKBKRW,LINK,BKRW,BREAK
FLMBNB,FLM,BNB,BREAK
FLMBTC,FLM,BTC,TRADING
FLMBUSD,FLM,BUSD,BREAK
FLMUSDT,FLM,USDT,TRADING
SCRTBTC,SCRT,BTC,TRADING
SCRTETH,SCRT,ETH,TRADING
CAKEBNB,CAKE,BNB,TRADING
CAKEBUSD,CAKE,BUSD,TRADING
SPARTABNB,SPARTA,BNB,BREAK
UNIUPUSDT,UNIUP,USDT,BREAK
UNIDOWNUSDT,UNIDOWN,USDT,BREAK
ORNBTC,ORN,BTC,TRADING
ORNUSDT,ORN,USDT,TRADING
TRXNGN,TRX,NGN,BREAK
SXPTRY,SXP,TRY,TRADING
UTKBTC,UTK,BTC,TRADING
UTKUSDT,UTK,USDT,TRADING
XVSBNB,XVS,BNB,TRADING
XVSBTC,XVS,BTC,TRADING
XVSBUSD,XVS,BUSD,TRADING
XVSUSDT,XVS,USDT,TRADING
ALPHABNB,ALPHA,BNB,TRADING
ALPHABTC,ALPHA,BTC,TRADING
ALPHABUSD,ALPHA,BUSD,TRADING
ALPHAUSDT,ALPHA,USDT,TRADING
VIDTBTC,VIDT,BTC,TRADING
VIDTBUSD,VIDT,BUSD,TRADING
AAVEBNB,AAVE,BNB,TRADING
BTCBRL,BTC,BRL,TRADING
